ds,yhat,yhat_lower,yhat_upper
2017-10-27,7666.330706064216,1775.4508495095454,13233.816003028662
2017-10-28,7763.059933482299,2048.7349742894853,13784.558661155324
2017-10-29,7920.812952901875,1896.570498025207,13683.85850101301
2017-10-30,8167.188806160874,2309.294530024185,13699.596029920776
2017-10-31,8247.16670910448,2243.5815698565184,14778.452061318154
2017-11-01,8461.589815045867,2316.662574558733,14462.508701209987
2017-11-02,8511.848811867634,2816.270805949694,14408.190356890862
2017-11-03,8662.061655827058,2773.7964544588876,14554.979175307159
2017-11-04,8730.095442861804,2889.6080781434684,15019.860457033015
2017-11-05,8853.85239591871,2734.2864026988323,14737.82683926524
2017-11-06,9060.886171975262,3262.862802865352,15219.82194266969
2017-11-07,9096.178166066878,3016.700427323931,15744.55681776779
2017-11-08,9260.62617683434,3208.275999291029,15239.678732067861
2017-11-09,9255.73261138036,3223.885908515023,15268.637772137072
2017-11-10,9345.788421497364,3502.7707143612065,15058.89534439906
2017-11-11,9348.855736313588,3171.031742417973,15162.97475775572
2017-11-12,9403.18562628593,3722.1795652660044,15447.309462088948
2017-11-13,9536.707907625118,3720.71397556699,15793.645163343639
2017-11-14,9494.851697495082,3239.7237035116086,15564.44848932097
2017-11-15,9579.034372838445,3670.681122133576,15885.372068966022
2017-11-16,9491.348903525264,2836.910337956471,15388.710676972647
2017-11-17,9496.745638488397,3911.6064738304567,15570.143900480294
2017-11-18,9414.054327536722,3351.9769284714544,15387.180338370945
2017-11-19,9382.268151974342,3096.5193235347942,15129.174723701008
2017-11-20,9430.155781852773,3673.186919820448,15284.921699603356
2017-11-21,9304.030978247665,3144.2409377577596,15221.257851474616
2017-11-22,9306.231980482435,3601.502786067686,15045.56748809839
2017-11-23,9139.797773266091,3029.7703755758985,14791.845363141107
2017-11-24,9070.637391860397,2693.8035605612527,15302.648221082927
2017-11-25,8918.538168190966,2921.223533505402,15001.598625299504
2017-11-26,8823.434853047635,2889.7491954159896,14641.028399112054
2017-11-27,8815.005835979871,2818.2208994324365,14861.328828418878
2017-11-28,8640.426225509631,2643.654266941932,14857.259859937314
2017-11-29,8602.830311811926,3274.687341554813,14819.418338272319
2017-11-30,8405.970823186743,2303.566132325891,14679.415901689996
2017-12-01,8316.37147989379,2512.5644746966855,14484.466533113959
2017-12-02,8154.319116487521,2500.8250010511206,14109.498604328339
2017-12-03,8060.11769138895,2053.159212604373,13914.059442933987
2017-12-04,8063.670795803588,2088.0370155131727,13436.16321824411
2017-12-05,7912.222812826025,2194.4861721642346,13792.889736011042
2017-12-06,7908.811624899516,1749.9844149157504,14141.834514665925
2017-12-07,7756.920634592798,1744.0676177689274,13503.314443152676
2017-12-08,7722.626923125785,1892.3213526615064,13442.64684673282
2017-12-09,7625.592095722397,1578.498570622469,13200.000796987042
2017-12-10,7605.318357804948,1865.0254032259893,13869.302684546823
2017-12-11,7690.736597803601,1828.6013584623333,13388.611671264469
2017-12-12,7627.95672156972,2258.303185521691,13340.15778095454
2017-12-13,7718.733154586162,2113.474399742582,13887.211500713598
2017-12-14,7665.133213869541,2100.388318057869,13742.581781889636
2017-12-15,7731.705026585743,1386.407203106875,13487.066669763275
2017-12-16,7736.491311523656,1612.8124065193438,13925.812632665808
2017-12-17,7817.311249855279,1888.3351629575616,13614.608647516514
2017-12-18,8001.376821828862,1992.6262478950605,13588.168588453513
2017-12-19,8033.073379019337,1777.5429867364912,13484.42577796405
2017-12-20,8212.456824305942,2653.0323163589223,14123.179216442166
2017-12-21,8239.95449832812,2177.548000123898,14101.83676147696
2017-12-22,8378.565798826798,2400.413261184943,13985.944057087267
2017-12-23,8444.908164168899,2658.260302742486,13811.763374610879
2017-12-24,8575.529943183421,2901.0076918547666,14536.6728724682
2017-12-25,8796.55582006976,2739.857271868564,14667.3259013151
2017-12-26,8851.493869203556,2314.235830782384,14745.86384013136
2017-12-27,9039.75594730621,3045.5858737159756,15207.586500194788
2017-12-28,9061.37790409496,3061.615690574625,14914.085468053767
2017-12-29,9179.235083729958,3397.075425259291,14983.003791635043
2017-12-30,9210.098273359037,3112.255734671744,15469.093643319553
2017-12-31,9290.951239107671,2941.522416010534,14956.688961794549
2018-01-01,9448.635242172058,3342.3815408916967,15381.509783877542
2018-01-02,9427.649449579827,3064.4450432008693,14951.624151037162
2018-01-03,9528.658910427916,3752.562481838394,15651.525486647803
2018-01-04,9453.196670639933,3400.067525332014,15333.98545123277
2018-01-05,9465.855721030428,3172.9731104610123,15834.74628851551
2018-01-06,9385.316286828554,3657.6339584925777,15156.239934413219
2018-01-07,9350.63007593684,3653.4756334370127,15276.739747588492
2018-01-08,9390.827473006546,3558.6326898600746,15044.986216933496
2018-01-09,9252.677295220936,3435.1824859682374,15297.492507044939
2018-01-10,9239.151575319234,3207.2946166035513,15525.889276511063
2018-01-11,9054.08281682999,2951.1811195116666,15000.984292032535
2018-01-12,8964.310346996112,3318.936837025608,14878.803532592583
2018-01-13,8790.662244601568,2679.0767840596686,14698.358797129864
2018-01-14,8674.195445631482,2330.4941596777176,14458.591372043245
2018-01-15,8645.760993303578,2298.2819490218353,14316.04249747749
2018-01-16,8453.724998567362,2738.6085742539585,13900.281740763488
